station,name,lat,lon,elev
58543,Chun An (China),29.61666667,119.0166667,172
58556,Shengxian (China),29.6,120.8166667,108
58569,Shipu (China),29.19972222,121.95,127
58606,Nanchang (China),28.6,115.9166667,50
58633,Qu Xian (China),28.96666667,118.8666667,71
58646,Lishui (China),28.39416667,119.8541667,145
58652,Xianju (China),28.86666667,120.7166667,83
58666,Dachen Dao (China),28.44972222,121.8830556,84
58715,Nancheng (China),27.58305556,116.65,82
58725,Shaowu (China),27.33305556,117.4666667,219
58730,Wuyishan (China),27.76666667,118.0330556,221
58731,Pucheng (China),27.91666667,118.5330556,275
58752,Ruian (China),27.78305556,120.65,38
58754,Fuding (China),27.33305556,120.2,38
58813,Guangchang (China),26.83305556,116.2997222,166
58834,Nanping (China),26.63305556,118.15,128
58847,Fuzhou (China),26.08305556,119.2830556,85
58911,Changting (China),25.85,116.3666667,311
58921,Yong'An (China),25.94972222,117.37,258
58926,Zhang Ping (China),25.27194444,117.4280556,239
58931,Jiuxian Shan (China),25.71666667,118.0997222,1651
58944,Pingtan (China),25.51666667,119.7830556,31
59007,Guangnan (China),24.06666667,105.0666667,1251
59023,Hechi (China),24.69972222,108.0330556,214
59046,Liuzhou (China),24.36666667,109.4666667,306
59058,Mengshan (China),24.19972222,110.5166667,145
59072,Lian Xian (China),24.8,112.3666667,98
59082,Shaoguan (China),24.66666667,113.5997222,122
59087,Fogang (China),23.88305556,113.5166667,68
59096,Lianping (China),24.38305556,114.4830556,284
59102,Xunwu (China),24.94972222,115.65,299
59117,Mei Xian (China),24.28305556,116.0666667,116
59134,Xiamen (China),24.48305556,118.0830556,139
59209,Napo (China),23.39972222,105.8166667,856
59211,Baise (China),23.89972222,106.5997222,242
59254,Guiping (China),23.33305556,110.0166667,130
59265,Wuzhou (China),23.48305556,111.2997222,120
59278,Gaoyao (China),23.05,112.4666667,12
59287,Guangzhou (China),23.21666667,113.4830556,71
59293,Heyuan (China),23.78,114.7697222,115
59316,Shantou (China),23.39972222,116.6830556,3
59417,Longzhou (China),22.36666667,106.75,129
59431,Nanning (China),22.78305556,108.5497222,152
59456,Xinyi (China),22.35,110.9330556,84
59493,Shenzhen (China),22.55,114.0997222,18
59501,Shanwei (China),22.78305556,115.3666667,5
59632,Qinzhou (China),21.98,108.5997222,49
59644,Beihai (China),21.4475,109.1833333,10
59658,Zhanjiang (China),21.14972222,110.2997222,50
59663,Yangjiang (China),21.83305556,111.9666667,22
59673,Shangchuan Dao (China),21.73305556,112.7666667,18
59758,Haikou (China),20,110.25,64
59792,Dongsha Dao (China),20.66666667,116.7166667,6
59838,Dongfang (China),19.1,108.6166667,8
59845,Danxian (China),19.51666667,109.5830556,169
59855,Qionghai (China),19.21666667,110.4830556,23
59948,Sanya (China),18.21666667,109.5830556,420
59981,Xisha Dao (China),16.83305556,112.3330556,5
59985,Sanhu Dao (China),16.53305556,111.6166667,5
